"Level";"Date and Time";"Source";"Message";"EventID"
"Information";"23/12/2025 19:30:22";"Microsoft-Windows-Security-SPP";"Offline downlevel migration succeeded.";"16394"
"Information";"23/12/2025 19:31:22";"Microsoft-Windows-Security-SPP";"Successfully scheduled Software Protection service for re-start at 2125-11-29T19:31:22Z. Reason: RulesEngine.";"16384"
"Information";"23/12/2025 19:34:51";"DbxSvc";"The file is signed and the signature was verified: C:\Program Files (x86)\Dropbox\Client\Dropbox.exe";"284"
"Information";"23/12/2025 19:34:51";"DbxSvc";"Certificate match for file: C:\Program Files (x86)\Dropbox\Client\Dropbox.exe";"283"
"Information";"23/12/2025 19:34:51";"DbxSvc";"Accepting connection from client: C:\Program Files (x86)\Dropbox\Client\Dropbox.exe";"294"
"Information";"23/12/2025 19:34:51";"DbxSvc";"Filter Unload failed with: (-2145452013) The system could not find the filter specified. ";"270"
"Information";"23/12/2025 19:34:51";"DbxSvc";"The file is signed and the signature was verified: C:\Program Files (x86)\Dropbox\Client\Dropbox.exe";"284"
"Information";"23/12/2025 19:34:51";"DbxSvc";"Certificate match for file: C:\Program Files (x86)\Dropbox\Client\Dropbox.exe";"283"
"Information";"23/12/2025 19:34:51";"DbxSvc";"Accepting connection from client: C:\Program Files (x86)\Dropbox\Client\Dropbox.exe";"294"
"Information";"23/12/2025 19:34:51";"DbxSvc";"Filter Unload failed with: (-2145452013) The system could not find the filter specified. ";"270"
"Information";"23/12/2025 19:34:51";"DbxSvc";"Uninstalled filter driver.";"340"
"Information";"23/12/2025 19:51:37";"VSS";"Volume Shadow Copy Service information: Snapshot creation initiated for Snapshot Set {5d092a76-eb00-4bf0-8cc9-e772f20a483b}.
 Process command line: ""C:\Program Files (x86)\Livedrive\VSSService.exe""  -displayname ""Livedrive VSS Service"" -servicename ""LivedriveVSSService""
 Process Caller Stack:
 Process[0]: VSSService.exe
 Process[1]: services.exe
 Process[2]: wininit.exe
";"8231"
"Information";"23/12/2025 20:10:14";"DbxSvc";"The file is signed and the signature was verified: C:\Program Files (x86)\Dropbox\Client\Dropbox.exe";"284"
"Information";"23/12/2025 20:10:14";"DbxSvc";"Certificate match for file: C:\Program Files (x86)\Dropbox\Client\Dropbox.exe";"283"
"Information";"23/12/2025 20:10:14";"DbxSvc";"Accepting connection from client: C:\Program Files (x86)\Dropbox\Client\Dropbox.exe";"294"
"Information";"23/12/2025 20:10:14";"DbxSvc";"Filter Unload failed with: (-2145452013) The system could not find the filter specified. ";"270"
"Information";"23/12/2025 20:10:14";"DbxSvc";"The file is signed and the signature was verified: C:\Program Files (x86)\Dropbox\Client\Dropbox.exe";"284"
"Information";"23/12/2025 20:10:14";"DbxSvc";"Certificate match for file: C:\Program Files (x86)\Dropbox\Client\Dropbox.exe";"283"
"Information";"23/12/2025 20:10:14";"DbxSvc";"Accepting connection from client: C:\Program Files (x86)\Dropbox\Client\Dropbox.exe";"294"
"Information";"23/12/2025 20:10:14";"DbxSvc";"Filter Unload failed with: (-2145452013) The system could not find the filter specified. ";"270"
"Information";"23/12/2025 20:10:14";"DbxSvc";"Uninstalled filter driver.";"340"
"Information";"23/12/2025 20:24:22";"Microsoft-Windows-Security-SPP";"Offline downlevel migration succeeded.";"16394"
"Information";"23/12/2025 20:24:59";"Microsoft-Windows-Security-SPP";"Successfully scheduled Software Protection service for re-start at 2125-11-29T20:24:59Z. Reason: RulesEngine.";"16384"
"Information";"23/12/2025 20:51:39";"VSS";"Volume Shadow Copy Service information: Snapshot creation initiated for Snapshot Set {5fb1a6f1-c90e-4036-b57d-94b588e2bea8}.
 Process command line: ""C:\Program Files (x86)\Livedrive\VSSService.exe""  -displayname ""Livedrive VSS Service"" -servicename ""LivedriveVSSService""
 Process Caller Stack:
 Process[0]: VSSService.exe
 Process[1]: services.exe
 Process[2]: wininit.exe
";"8231"
"Information";"23/12/2025 20:57:07";"DbxSvc";"The file is signed and the signature was verified: C:\Program Files (x86)\Dropbox\Client\Dropbox.exe";"284"
"Information";"23/12/2025 20:57:07";"DbxSvc";"Certificate match for file: C:\Program Files (x86)\Dropbox\Client\Dropbox.exe";"283"
"Information";"23/12/2025 20:57:07";"DbxSvc";"Accepting connection from client: C:\Program Files (x86)\Dropbox\Client\Dropbox.exe";"294"
"Information";"23/12/2025 20:57:07";"DbxSvc";"Filter Unload failed with: (-2145452013) The system could not find the filter specified. ";"270"
"Information";"23/12/2025 20:57:07";"DbxSvc";"The file is signed and the signature was verified: C:\Program Files (x86)\Dropbox\Client\Dropbox.exe";"284"
"Information";"23/12/2025 20:57:07";"DbxSvc";"Certificate match for file: C:\Program Files (x86)\Dropbox\Client\Dropbox.exe";"283"
"Information";"23/12/2025 20:57:07";"DbxSvc";"Accepting connection from client: C:\Program Files (x86)\Dropbox\Client\Dropbox.exe";"294"
"Information";"23/12/2025 20:57:07";"DbxSvc";"Filter Unload failed with: (-2145452013) The system could not find the filter specified. ";"270"
"Information";"23/12/2025 20:57:07";"DbxSvc";"Uninstalled filter driver.";"340"
"Information";"23/12/2025 21:11:17";"Microsoft-Windows-Security-SPP";"Offline downlevel migration succeeded.";"16394"
"Information";"23/12/2025 21:11:47";"Microsoft-Windows-Security-SPP";"Successfully scheduled Software Protection service for re-start at 2125-11-29T21:11:47Z. Reason: RulesEngine.";"16384"
"Information";"23/12/2025 21:19:35";"brave";"";"0"
"Information";"23/12/2025 21:24:28";"Microsoft-Windows-Security-SPP";"Offline downlevel migration succeeded.";"16394"
"Information";"23/12/2025 21:24:59";"Microsoft-Windows-Security-SPP";"Successfully scheduled Software Protection service for re-start at 2125-11-29T21:24:59Z. Reason: RulesEngine.";"16384"
"Information";"23/12/2025 21:32:28";"Microsoft-Windows-Security-SPP";"Offline downlevel migration succeeded.";"16394"
"Information";"23/12/2025 21:32:58";"Microsoft-Windows-Security-SPP";"Successfully scheduled Software Protection service for re-start at 2125-11-29T21:32:58Z. Reason: RulesEngine.";"16384"
"Information";"23/12/2025 21:51:40";"VSS";"Volume Shadow Copy Service information: Snapshot creation initiated for Snapshot Set {6624c2da-e8e0-4165-92d5-3377c34a1e2c}.
 Process command line: ""C:\Program Files (x86)\Livedrive\VSSService.exe""  -displayname ""Livedrive VSS Service"" -servicename ""LivedriveVSSService""
 Process Caller Stack:
 Process[0]: VSSService.exe
 Process[1]: services.exe
 Process[2]: wininit.exe
";"8231"
"Information";"23/12/2025 21:54:29";"DbxSvc";"The file is signed and the signature was verified: C:\Program Files (x86)\Dropbox\Client\Dropbox.exe";"284"
"Information";"23/12/2025 21:54:29";"DbxSvc";"Certificate match for file: C:\Program Files (x86)\Dropbox\Client\Dropbox.exe";"283"
"Information";"23/12/2025 21:54:29";"DbxSvc";"Accepting connection from client: C:\Program Files (x86)\Dropbox\Client\Dropbox.exe";"294"
"Information";"23/12/2025 21:54:29";"DbxSvc";"Filter Unload failed with: (-2145452013) The system could not find the filter specified. ";"270"
"Information";"23/12/2025 21:54:29";"DbxSvc";"The file is signed and the signature was verified: C:\Program Files (x86)\Dropbox\Client\Dropbox.exe";"284"
"Information";"23/12/2025 21:54:29";"DbxSvc";"Certificate match for file: C:\Program Files (x86)\Dropbox\Client\Dropbox.exe";"283"
"Information";"23/12/2025 21:54:29";"DbxSvc";"Accepting connection from client: C:\Program Files (x86)\Dropbox\Client\Dropbox.exe";"294"
"Information";"23/12/2025 21:54:29";"DbxSvc";"Filter Unload failed with: (-2145452013) The system could not find the filter specified. ";"270"
"Information";"23/12/2025 21:54:29";"DbxSvc";"Uninstalled filter driver.";"340"
"Information";"23/12/2025 22:18:47";"Microsoft-Windows-Security-SPP";"Offline downlevel migration succeeded.";"16394"
"Information";"23/12/2025 22:19:17";"Microsoft-Windows-Security-SPP";"Successfully scheduled Software Protection service for re-start at 2125-11-29T22:19:17Z. Reason: RulesEngine.";"16384"
"Information";"23/12/2025 22:43:15";"SecurityCenter";"Updated Windows Defender status successfully to SECURITY_PRODUCT_STATE_ON.";"15"
"Information";"23/12/2025 22:43:17";"SecurityCenter";"Updated Windows Defender status successfully to SECURITY_PRODUCT_STATE_ON.";"15"
"Information";"23/12/2025 22:51:03";"VSS";"Volume Shadow Copy Service information: Snapshot creation initiated for Snapshot Set {9946c4d2-4a4f-4610-9aae-4c745fe2ca45}.
 Process command line: ""C:\Program Files (x86)\Livedrive\VSSService.exe""  -displayname ""Livedrive VSS Service"" -servicename ""LivedriveVSSService""
 Process Caller Stack:
 Process[0]: VSSService.exe
 Process[1]: services.exe
 Process[2]: wininit.exe
";"8231"
"Information";"23/12/2025 22:55:17";"Microsoft-Windows-Security-SPP";"Offline downlevel migration succeeded.";"16394"
"Information";"23/12/2025 22:55:47";"DbxSvc";"The file is signed and the signature was verified: C:\Program Files (x86)\Dropbox\Client\Dropbox.exe";"284"
"Information";"23/12/2025 22:55:47";"DbxSvc";"Certificate match for file: C:\Program Files (x86)\Dropbox\Client\Dropbox.exe";"283"
"Information";"23/12/2025 22:55:47";"DbxSvc";"Accepting connection from client: C:\Program Files (x86)\Dropbox\Client\Dropbox.exe";"294"
"Information";"23/12/2025 22:55:47";"DbxSvc";"Filter Unload failed with: (-2145452013) The system could not find the filter specified. ";"270"
"Information";"23/12/2025 22:55:47";"DbxSvc";"The file is signed and the signature was verified: C:\Program Files (x86)\Dropbox\Client\Dropbox.exe";"284"
"Information";"23/12/2025 22:55:47";"DbxSvc";"Certificate match for file: C:\Program Files (x86)\Dropbox\Client\Dropbox.exe";"283"
"Information";"23/12/2025 22:55:47";"DbxSvc";"Accepting connection from client: C:\Program Files (x86)\Dropbox\Client\Dropbox.exe";"294"
"Information";"23/12/2025 22:55:47";"DbxSvc";"Filter Unload failed with: (-2145452013) The system could not find the filter specified. ";"270"
"Information";"23/12/2025 22:55:47";"DbxSvc";"Uninstalled filter driver.";"340"
"Information";"23/12/2025 22:55:48";"Microsoft-Windows-Security-SPP";"Successfully scheduled Software Protection service for re-start at 2125-11-29T22:55:48Z. Reason: RulesEngine.";"16384"
"Information";"23/12/2025 23:11:13";"Microsoft-Windows-Security-SPP";"Offline downlevel migration succeeded.";"16394"
"Information";"23/12/2025 23:11:43";"Microsoft-Windows-Security-SPP";"Successfully scheduled Software Protection service for re-start at 2125-11-29T23:11:43Z. Reason: RulesEngine.";"16384"
"Information";"23/12/2025 23:24:28";"Microsoft-Windows-Security-SPP";"Offline downlevel migration succeeded.";"16394"
"Information";"23/12/2025 23:24:59";"Microsoft-Windows-Security-SPP";"Successfully scheduled Software Protection service for re-start at 2125-11-29T23:24:59Z. Reason: RulesEngine.";"16384"
"Information";"23/12/2025 23:51:45";"VSS";"Volume Shadow Copy Service information: Snapshot creation initiated for Snapshot Set {5d03330b-617a-45fe-b174-298aba90300f}.
 Process command line: ""C:\Program Files (x86)\Livedrive\VSSService.exe""  -displayname ""Livedrive VSS Service"" -servicename ""LivedriveVSSService""
 Process Caller Stack:
 Process[0]: VSSService.exe
 Process[1]: services.exe
 Process[2]: wininit.exe
";"8231"
"Information";"23/12/2025 23:58:09";"Microsoft-Windows-Security-SPP";"Offline downlevel migration succeeded.";"16394"
"Information";"23/12/2025 23:58:39";"Microsoft-Windows-Security-SPP";"Successfully scheduled Software Protection service for re-start at 2125-11-29T23:58:39Z. Reason: RulesEngine.";"16384"
